Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.icvp.json	14440	-	0	0	0	0	0	0	11	193	0	0	0	0	0	0	0	1	0	0	123	103	0	0	0	0	7	0	2
fsh-generated/resources/CodeSystem-DVCRelationshipStatus.json	565	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	19	4015	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-doseNumber.json	1279	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	107	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-Questionnaire-DVCModel.json	27956	6	1	0	0	0	0	0	2	226	0	0	0	0	0	0	0	0	0	0	236	9647	0	0	0	0	6	0	0
fsh-generated/resources/Questionnaire-Questionnaire-ICVPModel.json	12565	5	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	1	0	0	151	781	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DVC-ImmunizationUvIps.json	3961	3	0	0	0	0	0	93	0	58	0	0	0	0	0	0	0	1	0	0	383	2087	0	0	1	0	10	0	1
fsh-generated/resources/StructureDefinition-DVCBundle.json	2988	4	0	0	0	0	0	191	0	33	0	0	1	0	0	0	0	1	0	0	539	1714	0	0	0	0	16	1	1
fsh-generated/resources/StructureDefinition-DVCComposition.json	4785	3	0	0	0	0	0	63	0	28	0	0	0	0	0	0	0	1	0	0	434	629	0	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-DVCIPS.json	1447	3	0	0	0	0	0	516	0	126	1	0	1	0	0	0	0	6	0	0	3451	5846	0	0	0	0	83	1	5
fsh-generated/resources/StructureDefinition-DVCIPSComposition.json	1498	2	0	0	0	0	0	114	0	94	0	0	1	0	0	0	0	3	0	0	1291	1609	0	0	0	0	31	0	3
fsh-generated/resources/StructureDefinition-DVCPatient.json	3162	3	0	0	0	0	0	63	0	27	0	0	0	0	0	0	0	1	0	0	303	305	0	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-DVCPayload.json	6955	4	0	0	0	0	0	45	0	19	0	0	0	0	0	0	0	0	0	0	142	120	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ICVPEvent.json	812	3	0	0	0	0	0	157	0	11	0	0	0	0	0	0	0	0	0	0	41	74	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ModelDVC.json	3932	3	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	70	82	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ModelICVP.json	1437	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	41	72	0	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-ModelICVPVaccineDetails.json	1884	3	0	0	0	0	0	16	0	6	0	0	0	0	0	0	0	0	0	0	55	83	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ModelVaccineDetails.json	5566	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	92	94	0	0	0	0	3	0	0
