Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.icvp.json	17310	-	0	0	1	0	0	0	11	65	0	0	0	0	0	0	0	1	0	0	68	95	0	0	0	0	2	1	1
fsh-generated/resources/CodeSystem-VaccineManufacturer.json	949	6	0	0	1	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	10	66	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ICVP.json	29726	28	0	0	1	0	0	0	3	490	0	0	0	0	0	0	0	1	0	0	134	676	0	0	1	0	4	0	0
fsh-generated/resources/Questionnaire-pPreQual.json	3538	7	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	51	30	0	0	0	0	1	0	0
fsh-generated/resources/Requirements-ICVPRequirements.json	30389	14	0	0	0	0	0	0	2	34	0	0	0	0	0	0	0	0	0	0	82	58	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-ICVP.json	1533	4	0	600	0	0	0	0	0	201	0	0	2	0	0	0	0	16	0	0	2083	5049	0	0	0	0	57	2	11
fsh-generated/resources/StructureDefinition-Composition-uv-ips-ICVP.json	1583	3	0	119	0	0	0	0	0	78	0	0	1	0	0	0	0	2	0	0	737	1262	0	0	0	0	17	1	4
fsh-generated/resources/StructureDefinition-ICVP.json	1823	3	0	17	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	50	200	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ICVPEvent.json	1006	2	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	58	80	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPImmunization.json	1573	2	0	30	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	122	211	0	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-ICVPMin.json	4890	4	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	46	64	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPMinVaccineDetails.json	4021	2	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	36	51	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPVaccineDetails.json	1589	3	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	54	89	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ICVPVaccineDetailsSD.json	2031	2	0	14	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	76	97	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Immunization-uv-ips-ICVP.json	2163	3	0	27	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	158	148	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-pICVP.json	1386	2	0	11	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	45	73	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-pICVPVaccineDetails.json	1326	2	0	10	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	50	72	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-DiseaseTargeted.json	2687	2	0	0	0	0	0	0	1	162	0	0	0	0	0	0	0	0	0	0	9	169	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ICVPDiseaseTargeted.json	614	2	0	0	1	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	5	205	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ICVPProductIds.json	18770	5	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	61	61	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-ICVPVaccineCodes.json	2482	2	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	7	172	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ICVPVaccineType.json	1441	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	28	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VaccineManufacturer.json	406	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	24	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-preQualVaccines.json	382	2	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	4	193	0	0	0	0	0	0	0
input/maps/ICVPClaimtoICVPLM.map	2792	15	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	29	16	0	0	0	0	1	0	1
input/maps/ICVPClaimtoIPS.map	868	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	1	0	0
input/maps/ICVPLMToIPS.map	10780	42	0	0	0	0	0	0	10	19	0	0	0	0	0	0	0	0	0	0	99	42	0	0	0	0	3	0	0
input/maps/ICVPLMtoICVPClaim.map	1949	12	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	1	0	0
input/maps/ICVPQRtoICVPClaim.map	919	6	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	1
input/maps/ICVPQRtoICVPLM.map	3653	14	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	28	14	0	0	0	0	1	0	0
input/maps/PreQualDBtoProductLM.map	1012	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1272	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	4199	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yaml	280	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/prequalified_vaccines.csv	46179	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index-dak.md	2578	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ICVPEvent.md	219	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/indices.md	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/testing.md	2622	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/trust_domain_policy.md	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/maps.md	10	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/ValueSet-ICVPVaccineCodes.md	221	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/data-models-and-exchange.md	3567	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
/input/pagecontent/indicators.md	2558	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/ValueSet-ICVPVaccineType.md	233	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/deployment.md	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/trust_domain.md	173	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	73	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/transactions.md	325	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ICVPMinVaccineDetails.md	302	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/ValueSet-preQualVaccines.md	205	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/scenarios.md	17939	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
/input/pagecontent/references.md	1722	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/ValueSet-VaccineManufacturer.md	217	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/business-processes.md	8414	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-pICVP.md	261	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/dictionary.md	12368	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/security-privacy.md	409	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/reference-implementations.md	397	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/indicators-measures.md	659	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
/input/pagecontent/license.md	3787	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/dependencies.md	917	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/functional-requirements.md	490	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ICVPMin.md	270	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/decision-logic.md	8198	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
/input/pagecontent/trust_domain_use_cases.md	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/ValueSet-DiseaseTargeted.md	206	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/personas.md	4050	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index-ig.md	710	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/dak-api.md	212	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/trust_domain_specifications.md	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ICVPVaccineDetails.md	286	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/system-actors.md	1367	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/business-requirements.md	1245	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
/input/pagecontent/concepts.md	13611	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/test-data.md	350	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/ValueSet-ICVPDiseaseTargeted.md	231	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/sequence-diagrams.md	75	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/adapting.md	3653	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/changes.md	75	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
