Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.icvp.json	16931	-	0	0	0	0	0	0	15	79	0	0	0	0	0	0	0	1	0	0	109	131	0	0	0	0	13	0	2
fsh-generated/resources/CodeSystem-VaccineManufacturer.json	949	10	0	0	1	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	21	480	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-DisclosureStatements.json	2993	5	0	0	0	0	0	0	0	5200	0	0	0	0	0	0	0	0	0	0	27	71	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-ICVPProductIdToVaccineType.json	10926	6	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	51	84	0	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-VaccineTradeItemtoManufacturer.json	3188	5	0	0	1	0	0	0	0	4784	0	0	0	0	0	0	0	0	0	0	31	54	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ICVP.json	28497	9	0	0	0	0	0	0	2	426	0	0	0	0	0	0	0	0	0	0	155	2544	0	0	0	0	8	0	0
fsh-generated/resources/Questionnaire-pPreQual.json	3538	5	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	1	0	0	62	59	0	0	0	0	3	0	0
fsh-generated/resources/QuestionnaireResponse-ICVPQRExample.json	3982	6	0	0	0	0	0	0	1	47	0	0	0	0	0	0	0	0	0	0	64	50	0	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-ICVP.json	1533	6	0	834	0	0	0	0	0	179	0	0	2	0	0	0	0	7	0	0	1723	4165	0	0	1	0	106	3	17
fsh-generated/resources/StructureDefinition-Composition-uv-ips-ICVP.json	1583	5	0	138	1	0	0	0	0	108	0	0	0	0	0	0	0	3	0	0	754	1802	0	0	0	0	39	1	3
fsh-generated/resources/StructureDefinition-ICVP.json	1399	5	0	102	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	34	121	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ICVPEvent.json	796	5	0	51	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	30	112	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ICVPImmunization.json	1573	5	0	115	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	128	281	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ICVPMin.json	1061	5	0	46	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	89	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ICVPMinVaccineDetails.json	1222	5	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	33	76	0	0	0	0	1	0	0
