Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.icvp.json	16658	-	0	0	0	0	0	0	19	89	0	0	0	1	0	0	0	1	0	0	105	136	0	0	0	0	8	0	1
fsh-generated/resources/CodeSystem-VaccineManufacturer.json	949	7	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	25	620	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-preQualVaccines.json	2354	8	0	0	1	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	28	155	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-DisclosureStatements.json	2993	7	0	0	0	0	0	0	0	5376	0	0	0	0	0	0	0	0	0	0	34	92	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-VaccineTradeItemtoManufacturer.json	3188	5	0	0	0	0	0	0	4	5068	0	0	0	0	0	0	0	0	0	0	35	87	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ICVP.json	28275	9	0	0	0	0	0	0	2	406	0	0	0	0	0	0	0	0	0	0	142	1575	0	0	0	0	9	0	1
fsh-generated/resources/Questionnaire-pPreQual.json	3538	5	0	0	1	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	65	54	0	0	0	0	3	0	0
fsh-generated/resources/QuestionnaireResponse-ICVPQRExample.json	3982	6	0	0	0	0	0	0	1	45	0	0	0	0	0	0	0	0	0	0	57	57	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-ICVP.json	1533	6	0	624	0	0	0	0	0	151	0	0	1	0	0	0	0	8	0	0	1899	3971	0	0	0	0	131	3	5
fsh-generated/resources/StructureDefinition-Composition-uv-ips-ICVP.json	1583	5	0	151	0	0	0	0	0	87	0	0	1	0	0	0	0	3	0	0	721	2245	0	0	0	0	46	1	3
fsh-generated/resources/StructureDefinition-ICVP.json	1399	5	0	90	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	40	192	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ICVPEvent.json	796	5	0	50	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	38	166	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPImmunization.json	1573	5	0	81	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	143	329	0	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ICVPMin.json	1061	4	0	107	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	37	109	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPMinVaccineDetails.json	1222	5	0	60	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	37	100	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ICVPSD.json	5464	6	0	47	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	138	312	0	0	0	0	7	1	0
fsh-generated/resources/StructureDefinition-ICVPVaccineDetails.json	1841	5	0	16	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	40	167	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ICVPVaccineDetailsSD.json	2031	4	0	10	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	68	213	0	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-Immunization-uv-ips-ICVP.json	2145	5	0	21	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0	162	435	0	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-pICVP.json	1176	6	0	19	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	37	148	0	0	0	0	2	0	0
