Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.icvp.json	16931	-	0	0	1	0	0	0	13	66	0	0	0	0	0	0	0	1	0	0	89	128	0	0	0	0	9	0	1
fsh-generated/resources/CodeSystem-VaccineManufacturer.json	949	10	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	25	458	0	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-DisclosureStatements.json	2993	9	0	0	0	0	0	0	1	9730	0	0	0	0	0	0	0	0	0	0	25	71	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-ICVPProductIdToVaccineType.json	10926	9	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	42	75	0	0	0	0	3	0	0
fsh-generated/resources/ConceptMap-VaccineTradeItemtoManufacturer.json	3188	9	0	0	0	0	0	0	1	9417	0	0	0	0	0	0	0	0	0	0	24	59	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ICVP.json	28497	25	0	0	1	0	0	0	1	566	0	0	0	0	0	0	0	0	0	0	139	3363	0	0	0	0	7	0	1
fsh-generated/resources/Questionnaire-pPreQual.json	3538	21	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	1	0	0	61	68	0	0	0	0	5	0	0
fsh-generated/resources/QuestionnaireResponse-ICVPQRExample.json	3982	21	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	55	51	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-ICVP.json	1533	19	0	733	0	0	0	0	0	172	0	0	2	0	0	0	0	6	0	0	1700	4554	0	0	0	0	101	3	7
fsh-generated/resources/StructureDefinition-Composition-uv-ips-ICVP.json	1583	16	0	136	1	0	0	0	1	89	0	0	1	0	0	0	0	3	0	0	666	2091	0	0	0	0	39	1	3
