Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.icvp.json	16926	-	0	0	0	0	0	0	13	80	0	0	0	0	0	0	0	1	0	0	98	119	0	0	0	0	11	0	1
fsh-generated/resources/CodeSystem-VaccineManufacturer.json	949	6	0	0	1	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	24	479	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-DisclosureStatements.json	2993	5	0	0	0	0	0	0	1	4111	0	0	0	0	0	0	0	0	0	0	25	63	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-ICVPProductIdToVaccineType.json	10926	6	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	41	72	0	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-VaccineTradeItemtoManufacturer.json	3188	5	0	0	1	0	0	0	0	3861	0	0	0	0	0	0	0	0	0	0	23	46	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-ICVP.json	28647	8	0	0	0	0	0	0	1	292	0	0	0	0	0	0	0	1	0	0	138	1906	0	0	0	0	10	0	0
fsh-generated/resources/Questionnaire-pPreQual.json	3538	5	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	60	47	0	0	0	0	3	0	0
fsh-generated/resources/QuestionnaireResponse-ICVPQRExample.json	3982	6	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	55	30	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-ICVP.json	1533	5	0	622	0	0	1	0	0	246	0	0	1	0	0	0	0	6	0	0	1763	4433	0	0	0	0	119	3	8
fsh-generated/resources/StructureDefinition-Composition-uv-ips-ICVP.json	1583	6	0	161	1	0	0	0	0	113	0	0	1	0	0	0	0	4	0	0	729	1953	0	0	0	0	34	1	3
fsh-generated/resources/StructureDefinition-ICVP.json	1399	5	0	69	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	35	133	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ICVPEvent.json	796	8	0	49	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	30	125	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPImmunization.json	1573	5	0	87	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	128	414	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ICVPMin.json	1061	5	0	58	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	31	123	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPMinVaccineDetails.json	1222	5	0	7	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	32	119	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPSD.json	5464	5	0	39	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	0	134	330	0	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ICVPVaccineDetails.json	1841	5	0	7	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	35	131	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPVaccineDetailsSD.json	2031	5	0	10	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	62	170	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-Immunization-uv-ips-ICVP.json	2145	6	0	22	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	163	393	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-pICVP.json	1176	5	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	118	0	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-pICVPVaccineDetails.json	1326	5	0	10	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	35	136	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-DiseaseTargeted.json	2687	5	0	0	0	0	0	0	1	325	0	0	0	0	0	0	0	0	0	0	26	479	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ICVPDiseaseTargeted.json	614	5	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	17	415	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ICVPProductIds.json	18770	5	0	0	1	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	81	153	0	0	0	0	3	0	0
fsh-generated/resources/ValueSet-ICVPVaccineCodes.json	2482	5	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	20	384	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ICVPVaccineType.json	1441	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	22	69	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-VaccineManufacturer.json	406	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	56	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-preQualVaccines.json	382	5	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	19	414	0	0	0	0	0	0	0
input/maps/ICVPClaimtoICVPLM.map	2792	7	0	0	0	0	0	0	3	13	0	0	0	0	0	0	0	0	0	0	44	40	0	0	0	0	4	0	0
input/maps/ICVPClaimtoIPS.map	868	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	22	22	0	0	0	0	1	0	0
input/maps/ICVPLMToIPS.map	10780	16	0	0	0	0	0	0	8	20	0	0	0	0	0	0	0	0	0	0	116	40	0	0	0	0	12	0	1
input/maps/ICVPLMtoICVPClaim.map	1949	8	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	35	24	0	0	0	0	4	0	0
input/maps/ICVPQRtoICVPClaim.map	919	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	22	25	0	0	0	0	1	0	0
