Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.icvp.json	16702	-	0	0	0	0	0	0	13	96	0	0	0	0	1	0	0	1	0	0	119	124	0	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-DoseNumber.json	1279	14	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	31	537	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-VaccineManufacturer.json	948	8	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	21	70	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-preQualVaccines.json	2353	8	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	25	73	0	0	0	0	0	0	1
fsh-generated/resources/ConceptMap-DisclosureStatements.json	2993	8	0	0	0	0	0	0	1	4153	0	0	0	0	0	0	0	0	0	0	30	47	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-VaccineTradeItemtoManufacturer.json	3188	8	0	0	0	0	0	0	0	3997	0	0	0	0	0	0	0	0	0	0	27	51	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ICVP.json	28417	13	0	0	1	0	0	0	2	806	0	0	0	0	0	0	0	0	0	0	126	2151	0	0	0	0	8	0	0
fsh-generated/resources/Questionnaire-pPreQual.json	25458	11	0	0	0	0	0	0	1	240	0	0	0	0	0	0	0	1	0	0	112	397	0	0	0	0	6	0	0
fsh-generated/resources/QuestionnaireResponse-ICVPQRExample.json	3919	9	0	0	0	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	54	51	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-ICVP.json	1532	8	0	639	0	0	0	0	0	147	0	0	2	0	0	0	0	7	0	0	1770	4248	0	0	0	0	118	3	7
fsh-generated/resources/StructureDefinition-Composition-uv-ips-ICVP.json	1582	8	0	129	0	0	0	0	0	85	0	0	1	0	0	0	0	3	0	0	681	2238	0	0	0	0	34	1	3
fsh-generated/resources/StructureDefinition-ICVP.json	1780	8	0	113	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	37	134	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPEvent.json	795	7	0	51	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	39	116	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ICVPImmunization.json	1585	8	0	133	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	134	374	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-ICVPMin.json	1078	8	0	102	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	33	383	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ICVPMinVaccineDetails.json	1221	8	0	31	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	34	131	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPSD.json	5463	10	0	41	1	0	0	0	0	70	0	0	0	0	0	0	0	1	0	0	141	294	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ICVPVaccineDetails.json	1841	8	0	16	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	43	122	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPVaccineDetailsSD.json	2030	8	0	19	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	65	170	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Immunization-uv-ips-ICVP.json	2158	8	0	17	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	158	403	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-pICVP.json	1176	8	0	11	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	32	121	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-pICVPVaccineDetails.json	1326	8	0	13	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	33	119	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-DiseaseTargeted.json	2686	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	25	101	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-DoseNumber.json	353	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	64	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ICVPDiseaseTargeted.json	613	4	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	55	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ICVPProductIds.json	18770	5	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	1	0	0	57	69	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-ICVPQualVaccineType.json	1439	7	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	19	681	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ICVPVaccineCodes.json	2481	8	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	24	80	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-VaccineManufacturer.json	405	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	18	60	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-preQualVaccines.json	381	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	61	0	0	0	0	0	0	0
input/maps/DVCClaimtoDVCLM.map	3349	10	0	0	0	0	0	0	3	20	0	0	0	0	0	0	0	0	0	0	51	59	0	0	0	0	2	0	1
input/maps/DVCClaimtoIPS.map	864	8	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	33	45	0	0	0	0	1	0	0
input/maps/DVCLMToIPS.map	9868	18	0	0	0	0	0	0	5	34	0	0	0	0	0	0	0	0	0	0	131	51	0	0	0	0	6	0	0
input/maps/DVCLMtoDVCClaim.map	2106	10	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	37	34	0	0	0	0	2	0	0
input/maps/DVCQRtoDVCClaim.map	911	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	23	26	0	0	0	0	1	0	0
input/maps/DVCQRtoDVCLM.map	4596	11	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	50	29	0	0	0	0	2	0	0
/fsh-generated/resources/Binary-IVCP123455.json	641	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0	0
/fsh-generated/resources/Binary-IVCP123455SD.json	1951	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0	0
