Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.icvp.json	22855	-	0	0	0	0	0	0	7	453	0	0	0	0	0	0	0	1	0	0	123	129	0	0	0	0	6	0	2
fsh-generated/resources/Bundle-DVCDocExample.json	5513	9	20	0	0	0	0	0	1	1093	0	0	0	0	0	0	0	0	0	0	24	46	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DVCDocSDExample.json	8374	5	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	33	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DVCRelationshipStatus.json	565	4	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	17	4817	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DoseNumber.json	1279	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	1	18	167	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-Questionnaire-DVCModel.json	27950	6	0	0	0	0	0	0	2	255	0	0	0	0	0	0	0	0	0	0	130	12161	0	0	0	0	5	0	0
fsh-generated/resources/Questionnaire-Questionnaire-ICVPModel.json	12565	5	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	89	1000	0	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-DVC.json	1521	3	0	561	0	0	0	0	0	287	0	0	1	0	0	0	0	8	0	0	1906	7635	0	0	0	0	55	1	6
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-ICVP-SD.json	1235	3	0	958	0	0	0	0	0	181	0	0	2	0	0	0	0	6	0	0	1677	4144	0	0	0	0	55	2	5
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-ICVP.json	1527	3	0	0	0	0	0	0	0	176	0	0	1	0	0	0	0	6	0	0	1550	3025	0	0	0	0	54	2	5
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-PreQual.json	1559	2	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	6	0	0	1598	3368	0	0	0	0	56	0	5
fsh-generated/resources/StructureDefinition-Composition-uv-ips-DVC.json	1524	3	0	122	1	0	0	0	0	124	0	0	1	0	0	0	0	3	0	0	636	1769	0	0	0	0	19	1	3
fsh-generated/resources/StructureDefinition-Composition-uv-ips-ICVP.json	1577	3	0	135	0	0	0	0	0	81	0	0	0	0	0	0	0	3	0	0	633	1353	0	0	0	0	18	0	2
fsh-generated/resources/StructureDefinition-Composition-uv-ips-PreQual.json	1591	3	0	0	0	0	0	0	0	82	0	0	1	0	0	0	0	2	0	0	675	2216	0	0	0	0	18	1	2
fsh-generated/resources/StructureDefinition-DVC.json	3430	3	0	24	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	45	128	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DVCBundle.json	2982	3	0	173	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	276	864	0	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-DVCComposition.json	4401	3	0	33	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	0	215	532	0	0	0	1	7	0	0
fsh-generated/resources/StructureDefinition-DVCImmunization.json	3252	3	0	30	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	146	356	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-DVCPatient.json	3162	3	0	30	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	165	359	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-DVCPayload.json	5859	4	0	29	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	78	118	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-DVCSDBundle.json	1874	3	0	51	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	265	550	0	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-DVCSDComposition.json	1728	3	0	16	1	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	185	358	0	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-DVCSDImmunization.json	1420	3	0	14	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	148	365	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-DVCSDPatient.json	1365	2	0	14	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	149	434	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-DoseNumberCodeableConcept.json	1167	3	0	9	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	35	86	0	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-ICVP.json	1387	3	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	28	178	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPEvent.json	792	3	0	7	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	28	105	0	0	0	0	0	0	0
