"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"dICVPVaccineDetails","dICVPVaccineDetails","","","",0,*,"","","","null {[]} {[]}
","dICVP - Vaccine Details","Vaccine Data elements for the Digital Model International Certificate of Vaccination or Prophylaxis.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"dICVPVaccineDetails.disease","dICVPVaccineDetails.disease","","","",1,1,"","","","Coding {[]} {[]}
","Disease","Name of disease or condition vaccinated or received prophylaxis against","","","","","","","","","",,"required","","http://smart.who.int/icvp/ValueSet/ICVPDiseaseTargeted","",,,,"ModelVaccineDetails.disease",1,1,"",""
"dICVPVaccineDetails.vaccineClassification","dICVPVaccineDetails.vaccineClassification","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Vaccine code","Vaccine or prophylaxis classification code","","","","","","","","","",,"required","","http://smart.who.int/icvp/ValueSet/ICVPVaccineCodes","",,,,"ModelVaccineDetails.vaccineClassification",1,1,"",""
"dICVPVaccineDetails.date","dICVPVaccineDetails.date","","","",1,1,"","","","date {[]} {[]}
","Date","Date of vaccine","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.date",1,1,"",""
"dICVPVaccineDetails.clinicianName","dICVPVaccineDetails.clinicianName","","","",0,1,"","","","string {[]} {[]}
","Name of supervising clinician","Name of supervising clinician, or relevant authority responsible for issuing this certificate, or for overseeing the administering centre","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.clinicianName",0,1,"",""
"dICVPVaccineDetails.issuer","dICVPVaccineDetails.issuer","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Issuing Organization","Relevant authoring responsible for issuing the certificate, or for overseeing the administration center","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.issuer",0,1,"",""
"dICVPVaccineDetails.manufacturer","dICVPVaccineDetails.manufacturer","","","",1,1,"","","","string {[]} {[]}
","Name of Manufacturer of vaccine","Name Manufacturer of vaccine","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.manufacturer",1,1,"",""
"dICVPVaccineDetails.batchNo","dICVPVaccineDetails.batchNo","","","",0,1,"","","","string {[]} {[]}
","Batch No","Batch No","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.batchNo",0,1,"",""
"dICVPVaccineDetails.validityPeriod","dICVPVaccineDetails.validityPeriod","","","",0,1,"","","","Period {[]} {[]}
","Certificate validity period","Certificate validity period","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.validityPeriod",0,1,"",""
"dICVPVaccineDetails.certificateId","dICVPVaccineDetails.certificateId","","","",1,1,"","","","id {[]} {[]}
","Certificate ID","Certificate ID","","","","","","","","","",,,,,"",,,,"dICVPVaccineDetails.certificateId",1,1,"",""
"dICVPVaccineDetails.doseNumber","dICVPVaccineDetails.doseNumber","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Dose Number","Dose Number","","","","","","","","","",,"required","","http://smart.who.int/icvp/ValueSet/doseNumber","",,,,"dICVPVaccineDetails.doseNumber",1,1,"",""
"dICVPVaccineDetails.vaccineTradeItem","dICVPVaccineDetails.vaccineTradeItem","","","",0,1,"","","","code {[]} {[]}
","vaccine trade item id","Vaccine trade item id","","","","","","","","","",,"required","","http://smart.who.int/icvp/ValueSet/preQualVaccines","",,,,"dICVPVaccineDetails.vaccineTradeItem",0,1,"",""
"dICVPVaccineDetails.manufacturerId","dICVPVaccineDetails.manufacturerId","","","",0,1,"","","","Identifier {[]} {[]}
","Manufacture ID","Manufacturer ID","","","","","","","","","",,,,,"",,,,"dICVPVaccineDetails.manufacturerId",0,1,"",""
"dICVPVaccineDetails.serialNo","dICVPVaccineDetails.serialNo","","","",0,1,"","","","string {[]} {[]}
","Serial No","Serial No","","","","","","","","","",,,,,"",,,,"dICVPVaccineDetails.serialNo",0,1,"",""
