Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.icvp.json	26035	-	0	0	0	0	0	0	7	284	0	0	0	0	0	0	0	1	0	0	123	185	0	0	0	0	7	0	2
fsh-generated/resources/Bundle-DVCDocExample.json	5389	17	19	0	0	0	0	0	0	1207	0	0	0	0	0	0	0	1	0	0	28	64	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DVCDocSDExample.json	8767	7	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41	52	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DVCRelationshipStatus.json	565	6	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	22	4432	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DisclosureStatements.json	3915	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	30	179	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DoseNumber.json	1279	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	23	115	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-VaccineManufacturer.json	948	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23	111	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-preQualVaccines.json	2353	6	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	27	119	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-VaccineTradeItemtoManufacturer.json	3188	6	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	26	51	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ICVP.json	10978	8	0	0	1	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	86	11510	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-PreQual.json	7160	7	0	0	0	0	0	0	1	127	0	0	0	0	0	0	0	0	0	0	66	918	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-pPreQual.json	6762	5	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	1	0	0	64	699	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-DVC.json	1521	4	0	551	0	0	0	0	0	156	0	0	2	0	0	0	0	6	0	0	1676	6362	0	0	0	0	56	1	6
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-ICVP.json	1527	4	0	615	0	0	0	0	0	132	0	0	2	0	0	0	0	6	0	0	1821	4327	0	0	0	0	56	2	5
