Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.icvp.json	14440	-	0	0	0	0	0	0	7	301	0	0	0	0	0	0	0	1	0	0	133	109	0	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-DVCRelationshipStatus.json	565	7	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	22	3875	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-doseNumber.json	1279	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	20	154	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-Questionnaire-DVCModel.json	27956	7	0	0	0	0	0	0	2	246	0	0	0	0	0	0	0	0	0	0	258	10487	0	0	0	0	6	0	0
fsh-generated/resources/Questionnaire-Questionnaire-ICVPModel.json	12565	5	1	0	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	161	944	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DVC-ImmunizationUvIps.json	3961	4	0	0	0	0	0	80	0	75	0	0	1	0	0	0	0	1	0	0	413	1844	0	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-DVCBundle.json	2988	5	0	0	0	0	0	145	1	37	0	0	0	0	0	0	0	1	0	0	583	1458	0	0	0	0	18	0	2
fsh-generated/resources/StructureDefinition-DVCComposition.json	4785	4	0	0	0	0	0	51	0	39	0	0	0	0	0	0	0	0	0	0	438	599	0	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-DVCIPS.json	1447	4	0	0	0	0	0	388	0	105	0	0	2	0	0	0	0	6	0	0	3248	5436	0	0	0	0	98	1	6
fsh-generated/resources/StructureDefinition-DVCIPSComposition.json	1498	4	0	0	0	0	0	64	0	84	0	0	0	0	0	0	0	3	0	0	1283	2172	0	0	0	0	31	1	4
fsh-generated/resources/StructureDefinition-DVCPatient.json	3162	4	0	0	0	0	0	31	0	18	0	0	0	0	0	0	0	1	0	0	315	404	0	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-DVCPayload.json	6955	4	1	0	0	0	0	29	0	15	0	0	0	0	0	0	0	0	0	0	144	245	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ICVPEvent.json	812	4	0	0	0	0	0	139	0	7	0	0	0	0	0	0	0	0	0	0	43	102	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ModelDVC.json	3932	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	72	105	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ModelICVP.json	1437	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	75	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ModelICVPVaccineDetails.json	1884	4	0	0	0	0	0	38	0	8	0	0	0	0	0	0	0	0	0	0	57	94	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ModelVaccineDetails.json	5566	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	94	171	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-doseNumberCodeableConcept.json	1165	3	0	0	0	0	0	5	0	14	0	0	0	0	0	0	0	0	0	0	53	78	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-DVCRelationshipStatus.json	449	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	65	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-DVCVaccines.json	13923	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	95	289	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-DiseaseTargeted.json	2686	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	30	124	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ICVPDiseaseTargeted.json	613	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	59	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ICVPVaccineCodes.json	2481	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	30	77	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-doseNumber.json	353	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	68	0	0	0	0	0	0	0
input/maps/DVCClaimtoDVCLM.map	3349	10	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	80	23	0	0	0	0	11	0	1
input/maps/DVCClaimtoIPS.map	864	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	27	15	0	0	0	0	1	0	0
input/maps/DVCLMToIPS.map	9868	16	0	0	0	0	0	0	4	26	0	0	0	0	0	0	0	0	0	0	200	25	0	0	0	0	6	0	0
input/maps/DVCLMtoDVCClaim.map	2106	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	55	15	0	0	0	0	7	0	0
input/maps/DVCQRtoDVCClaim.map	911	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	15	0	0	0	0	2	0	0
input/maps/DVCQRtoDVCLM.map	4596	8	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	80	15	0	0	0	0	2	0	1
/fsh-generated/resources/Binary-DVCPayloadExample.json	366	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0	0
/fsh-generated/resources/Binary-IVCP123455.json	955	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0	0
/fsh-generated/resources/Binary-ModelDVCExample.json	988	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	6	0	0	0	0	0	0	0
